학년도,학교급별,학년,성별,키
2016,초,6,남,149
2016,초,6,남,150
2016,초,6,남,154.5
2016,초,6,남,157
2016,초,6,남,160.7
2016,초,6,남,166.5
2016,초,6,남,150
2016,초,6,남,155
2016,초,6,남,147.5
2016,초,6,남,152
2016,초,6,남,148
2016,초,6,남,158.5
2016,초,6,남,151.5
2016,초,6,여,154.5
2016,초,6,여,150.5
2016,초,6,여,153
2016,초,6,여,152
2016,초,6,여,160
2016,초,6,여,153
2016,초,6,여,157
2016,초,6,여,147
2016,초,6,여,144
2016,초,6,여,148
2016,초,6,여,154
2016,초,1,남,121.5
2016,초,1,남,119.8
2016,초,1,남,131.1
2016,초,1,남,119.5
2016,초,1,남,131.6
2016,초,1,남,126.3
2016,초,1,남,116.3
2016,초,1,남,125
2016,초,1,남,116
2016,초,1,남,119.9
2016,초,1,남,118.1
2016,초,1,남,123.4
2016,초,1,남,123.4
2016,초,1,남,124.2
2016,초,1,여,125
2016,초,1,여,127.6
2016,초,1,여,126.5
2016,초,1,여,121.7
2016,초,1,여,123
2016,초,1,여,119.1
2016,초,1,여,116.9
2016,초,1,여,124.5
2016,초,1,여,124.5
2016,초,1,여,122.9
2016,초,1,여,116.2
2016,초,1,여,116.6
2016,초,1,여,121.6
2016,초,2,남,124.3
2016,초,2,남,138.5
2016,초,2,남,138.5
2016,초,2,남,130.2
2016,초,2,남,130.6
2016,초,2,남,126.2
2016,초,2,남,130.2
2016,초,2,남,127.9
2016,초,2,남,122.6
2016,초,2,남,122.7
2016,초,2,남,128.8
2016,초,2,남,131.1
2016,초,2,여,117.6
2016,초,2,여,123.7
2016,초,2,여,131.7
2016,초,2,여,131.2
2016,초,2,여,131
2016,초,2,여,130.8
2016,초,2,여,130
2016,초,2,여,122.3
2016,초,2,여,126.9
2016,초,2,여,128.6
2016,초,3,남,133.7
2016,초,3,남,128
2016,초,3,남,138.6
2016,초,3,남,138.4
2016,초,3,남,139.1
2016,초,3,남,138.8
2016,초,3,남,149.3
2016,초,3,남,133.9
2016,초,3,남,141.2
2016,초,3,남,128.5
2016,초,3,남,136.2
2016,초,3,여,135.9
2016,초,3,여,139.9
2016,초,3,여,125.4
2016,초,3,여,144.2
2016,초,3,여,134
2016,초,3,여,138.6
2016,초,3,여,134.3
2016,초,3,여,140.5
2016,초,3,여,131.7
2016,초,3,여,123.7
2016,초,3,여,128.1
2016,초,4,남,134.1
2016,초,4,남,137.3
2016,초,4,남,144.8
2016,초,4,남,136.4
2016,초,4,남,148.8
2016,초,4,남,146.7
2016,초,4,남,136.4
2016,초,4,남,137.8
2016,초,4,남,130.5
2016,초,4,여,139.6
2016,초,4,여,142.2
2016,초,4,여,130.8
2016,초,4,여,158.8
2016,초,4,여,142.8
2016,초,4,여,130
2016,초,4,여,145.7
2016,초,4,여,142.6
2016,초,4,여,143.1
2016,초,4,여,137.6
2016,초,4,여,122.7
2016,초,5,남,140.9
2016,초,5,남,137.9
2016,초,5,남,142.2
